chr_uid,Char_Name,CASNumber
3389,% undercut bank,NULL
2519,(+)-cis-Permethrin,54774-45-7
3823,(+/-)11-nor-9-carboxy-delta-THC,64280-14-4
1,(-)-cis-Permethrin,54774-46-8
2,(-)-trans-Permethrin,54774-47-9
3601,"(1R,2S,5R)-Menthol",89-78-1
132,(2-Methyl-1-propenyl)benzene,768-49-0
3,(3-Bromopropyl)benzene,637-59-2
488,(E)-6-Methyl-3-undecene,74630-52-7
100352,(E)-Dimethomorph,NULL
2014,"(E,E)-Farnesol",106-28-5
101964,(R)-Dichlorprop,15165-67-0
100823,(RS)-AMPA (Aminomethyl phosphonic acid),74341-63-2 
100804,(S)-Norfluoxetine,126924-38-7
137,(Z)-Chloro-1-propene,16136-84-8
100353,(Z)-Dimethomorph,NULL
2347,"(Z,Z)-11,13-Hexadecadienal",71317-73-2
100900,".alpha.,.alpha.-Dimethylphenethylamine",122-09-8
100354,".alpha.-1,2,3,4,5,6-Hexachlorocyclohexane-D6 or alpha-HCH D6",NULL
561,".alpha.-Amino-2,3-dihydro-5-methyl-3-oxo-4-isoxazolepropanoic acid",77521-29-0
6,.alpha.-Chlordene,56534-02-2
7,.alpha.-Endosulfan,959-98-8
101666,.alpha.-HCH-d6,NULL
101498,".alpha.-Heptachlor-2,3-exo-epoxide",NULL
8,.alpha.-Hexachlorocyclohexane,319-84-6
9,.alpha.-Methylstyrene,98-83-9
2406,.alpha.-Naphthylthiourea,86-88-4
10,.alpha.-Nitrotoluene,622-42-4
3012,.Alpha.-Pinene,80-56-8
11,.alpha.-Terpineol,98-55-5
12,.beta.-Chlordene,56534-03-3
13,.beta.-Endosulfan,33213-65-9
101499,.beta.-Heptachlor epoxide,76543-83-4
14,.beta.-Hexachlorocyclohexane,319-85-7
2960,.beta.-Sitosterol,83-46-5
15,.delta.-Hexachlorocyclohexane,319-86-8
16,.gamma.-Butyrolactone,96-48-0
17,.gamma.-Chlordene,56641-38-4
103165,.gamma.-Cyhalothrin,76703-62-3
100576,.gamma.-Terpinene,99-85-4
3675,.lambda.-Cyhalothrin,91465-08-6
100577,"1,1'-(1-Pentene-3,5-diyl)dibenzene",61141-97-7
4624,"1,1'-(2-chloroethylidene)bis(4-chlorobenzene)",2642-80-0
26,"1,1'-Binaphthalene",604-53-5
33,"1,1'-Oxybis[3-chloropropane]",629-36-7
19,"1,1,1,2-Tetrachloroethane",630-20-6
20,"1,1,1-Trichloro-2-propanone",918-00-3
21,"1,1,1-Trichloroethane",71-55-6
2016,"1,1,1-trichloropentane",3922-27-8
2890,"1,1,1-Trichloropropane",7789-89-1
23,"1,1,2,2-Tetrabromoethane",79-27-6
24,"1,1,2,2-Tetrachloroethane",79-34-5
101041,"1,1,2,2-Tetrachloroethane-d2",NULL
25,"1,1,2-Trichloroethane",79-00-5
101052,"1,1,2-Trichlorotrifluoroethane",NULL
100767,"1,1,3,3-Tetramethyl-1,3,5-trisilacyclohexane",27559-34-8
856,"1,1,3-Trimethyl-3-(2-methallyl)cyclopentane",74421-09-3
100355,"1,1,3-Trimethylcyclopentane",4516-69-2
117,"1,1,4,6-Tetramethylindan",941-60-6
118,"1,1,4,7-Tetramethylindan",1078-04-2
27,"1,1-Dichloroethane",75-34-3
101042,"1,1-Dichloroethene-d2",NULL
28,"1,1-Dichloroethylene",75-35-4
29,"1,1-Dichloropropane",78-99-9
30,"1,1-Dichloropropanone",513-88-2
31,"1,1-Dichloropropene",563-58-6
961,"1,1-Dimethoxyethane",534-15-6
846,"1,1-Dimethyl-2-octylcyclobutane",62338-30-1
3964,"1,1-Dimethylbiguanide",657-24-9
100706,"1,1-Dimethylcyclopentane",1638-26-2
32,"1,1-Dimethylcyclopropane",1630-94-0
119,"1,1-Dimethylindan",4912-92-9
100923,"1,10-Decanediol",112-47-0
101797,"1,12-Dodecanediamine",2783-17-7
100692,"1,16-hexadecalactone",109-29-5
34,"1,2,3,4,5,6-Hexachlorocyclohexane",608-73-1
100879,"1,2,3,4,5,6-Hexachloronaphthalene",58877-88-6
1106,"1,2,3,4,5,7,7-Heptachloro-2-norbornene",5202-36-8
100880,"1,2,3,4,5,8-Hexachloronaphthalene",103426-93-3
36,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",3268-87-9
35,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",39001-02-0
100356,"1,2,3,4,6,7,8-Heptabromodibenzofuran",107555-95-3
38,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",35822-46-9
101500,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin-C13",109719-83-7
37,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",67562-39-4
101501,"1,2,3,4,6,7,8-Heptachlorodibenzofuran-C13",109719-84-8
103136,"1,2,3,4,6,7/1,2,3,5,6,7-Hexachloronaphthalene",NULL
1124,"1,2,3,4,7,7-Hexachloronorbornadiene",3389-71-7
39,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",55673-89-7
100361,"1,2,3,4,7,8-Hexabromodibenzo-p-dioxin",110999-44-5
41,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",39227-28-6
101502,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin-C13",109719-80-4
40,"1,2,3,4,7,8-Hexachlorodibenzofuran",70648-26-9
101503,"1,2,3,4,7,8-Hexachlorodibenzofuran-C13",114423-98-2
42,"1,2,3,4-Tetrachlorobenzene",634-66-2
101504,"1,2,3,4-Tetrachlorodibenzo-p-dioxin-C13",114423-99-3
101840,"1,2,3,4-Tetrachloronaphthalene",20020-02-4
43,"1,2,3,4-Tetrahydronaphthalene",119-64-2
44,"1,2,3,4-Tetramethylbenzene",488-23-3
1879,"1,2,3,4-Tetramethylphenanthrene",4466-77-7
103137,"1,2,3,4/2,3,6,7-Tetrachloronaphthalene",NULL
103138,"1,2,3,5,6,8-Hexachloronaphthalene",1335-87-1
100840,"1,2,3,5,7,8-Hexachloronaphthalene",103426-94-4
45,"1,2,3,5-Tetrachlorobenzene",634-90-2
46,"1,2,3,5-Tetramethylbenzene",527-53-7
48,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",57653-85-7
101505,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin-C13",109719-81-5
47,"1,2,3,6,7,8-Hexachlorodibenzofuran",57117-44-9
101506,"1,2,3,6,7,8-Hexachlorodibenzofuran-C13",116843-03-9
100841,"1,2,3,6,7,8-Hexachloronaphthalene",17062-87-2
100842,"1,2,3,6,7-Pentachloronaphthalene",150224-16-1
50,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",19408-74-3
101534,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin-C13",109719-82-6
49,"1,2,3,7,8,9-Hexachlorodibenzofuran",72918-21-9
101507,"1,2,3,7,8,9-Hexachlorodibenzofuran-C13",116843-04-0
52,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",40321-76-4
101508,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin-C13",109719-79-1
51,"1,2,3,7,8-Pentachlorodibenzofuran",57117-41-6
101509,"1,2,3,7,8-Pentachlorodibenzofuran-C13",109719-77-9
100843,"1,2,3,7,8-Pentachloronaphthalene",150205-21-3
100844,"1,2,3,8-Tetrachloronaphthalene",149864-81-3
4527,"1,2,3-Benzotriazole",95-14-7
53,"1,2,3-Trichlorobenzene",87-61-6
54,"1,2,3-Trichloropropane",96-18-4
55,"1,2,3-Trimethylbenzene",526-73-8
100845,"1,2,3-Trimethylcyclopentane",2815-57-8
103139,"1,2,4,5,6,8/1,2,4,5,7,8-Hexachloronaphthalene",NULL
100846,"1,2,4,5,6-Pentachloronaphthalene",150224-20-7
100847,"1,2,4,5,7-Pentachloronaphthalene",150224-19-4
100848,"1,2,4,5,8-Pentachloronaphthalene",150224-25-2
